measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Wyoming,Both,All ages,Alcohol use disorders,Number,1990,19.040850576831694,20.82066257388924,17.29712205800215
Deaths,Idaho,Both,All ages,Alcoholic cardiomyopathy,Number,1992,16.870293471893746,21.250387572774542,13.538186700726756
Deaths,United States of America,Both,All ages,Alcohol use disorders,Number,1990,6762.581664846333,6877.821552160362,6622.744976491867
Deaths,Ohio,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,524.2975096407837,597.1307159397987,455.8271231732975
Deaths,New Hampshire,Both,All ages,Liver cancer due to alcohol use,Number,1992,8.728104902746045,10.028709928234466,7.488161267683074
Deaths,Illinois,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,497.3596060488209,556.1258261217725,444.0448493077953
Deaths,Nevada,Both,All ages,Alcoholic cardiomyopathy,Number,1992,43.47860150425348,58.14686034928494,31.137532215159727
Deaths,North Dakota,Both,All ages,Alcoholic cardiomyopathy,Number,1990,10.530683811181571,13.224735505731942,8.508464476308431
Deaths,Kansas,Both,All ages,Liver cancer due to alcohol use,Number,1991,15.491341800868108,17.69272943574237,13.31514031588594
Deaths,Idaho,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,31.002063746763827,35.44858033450181,27.056842949495024
Deaths,New Mexico,Both,All ages,Liver cancer due to alcohol use,Number,1991,12.764573651905351,14.67621220251538,10.94560360187395
Deaths,Texas,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,703.8699203476854,787.2814447342993,621.8926899908793
Deaths,Indiana,Both,All ages,Alcoholic cardiomyopathy,Number,1991,148.6915951223372,184.78238942498152,106.45353641152224
Deaths,United States of America,Both,All ages,Alcoholic cardiomyopathy,Number,1990,6451.531269088715,7802.3320853153355,4570.240977910458
Deaths,Alabama,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,182.81418023500615,208.64859049080985,159.61921711593413
Deaths,Arizona,Both,All ages,Liver cancer due to alcohol use,Number,1990,23.37391325407892,26.818675043483626,20.01571794535656
Deaths,Arizona,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,175.6285244084737,202.45550946980774,151.59310554661445
Deaths,Alaska,Both,All ages,Alcohol use disorders,Number,1991,36.82761256153609,40.26269739631341,33.706940462467585
Deaths,Nevada,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,76.69934040460176,86.6073150660359,67.24860314567958
Deaths,Wisconsin,Both,All ages,Liver cancer due to alcohol use,Number,1990,37.42211661075814,42.923193260630384,32.47469530116629
Deaths,Wisconsin,Both,All ages,Alcohol use disorders,Number,1990,126.54996253767017,134.95943314149136,118.65541389940707
Deaths,Michigan,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,402.4750761419496,461.8098659787712,346.68027651778806
Deaths,Louisiana,Both,All ages,Liver cancer due to alcohol use,Number,1990,30.22180900824437,34.742185241779346,26.193352843194244
Deaths,North Carolina,Both,All ages,Alcoholic cardiomyopathy,Number,1991,195.84113283679793,233.06543509538116,138.06764805949334
Deaths,Kansas,Both,All ages,Alcohol use disorders,Number,1991,56.14061463884946,60.30163417201216,51.927661659362435
Deaths,Louisiana,Both,All ages,Alcoholic cardiomyopathy,Number,1990,112.36365954970533,140.42614034776054,81.09349919938796
Deaths,Washington,Both,All ages,Liver cancer due to alcohol use,Number,1991,45.06019610462785,50.80918857939235,39.32988640669706
Deaths,Kansas,Both,All ages,Alcoholic cardiomyopathy,Number,1991,56.83981176683512,67.31451944448393,39.98163374414818
Deaths,Wisconsin,Both,All ages,Liver cancer due to alcohol use,Number,1991,37.99181668436758,43.033292455885075,33.11578477445395
Deaths,United States of America,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,10565.813828812059,11966.952942273427,9213.347933433892
Deaths,Kentucky,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,143.30909890504464,164.06670132259993,124.66798488640491
Deaths,New Hampshire,Both,All ages,Alcohol use disorders,Number,1992,31.264013693450558,34.098888124259894,28.492513918570026
Deaths,Illinois,Both,All ages,Alcohol use disorders,Number,1992,311.37469277726086,328.83978243249146,292.8752399332498
Deaths,Illinois,Both,All ages,Liver cancer due to alcohol use,Number,1992,93.54637273205623,105.14993671525748,81.6797414514868
Deaths,Arizona,Both,All ages,Alcohol use disorders,Number,1990,150.09110122857035,161.43954626787814,139.9798562468026
Deaths,United States of America,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,10491.14627398351,11778.734438823978,9246.250098565013
Deaths,Maine,Both,All ages,Alcoholic cardiomyopathy,Number,1990,27.765075204024438,32.58513826046391,20.473772028612153
Deaths,Washington,Both,All ages,Alcoholic cardiomyopathy,Number,1991,120.95673845362022,143.9440862683538,82.53899662358351
Deaths,Ohio,Both,All ages,Alcoholic cardiomyopathy,Number,1990,292.7179739873167,357.97962178428145,205.47292001995544
Deaths,Arizona,Both,All ages,Alcoholic cardiomyopathy,Number,1990,78.55722719151319,93.40145200044282,59.34416469385091
Deaths,Wisconsin,Both,All ages,Alcoholic cardiomyopathy,Number,1990,122.93098074974077,146.97727261172966,86.94904913819515
Deaths,Utah,Both,All ages,Liver cancer due to alcohol use,Number,1992,7.960436421378238,9.147005631381946,6.73117968009476
Deaths,Utah,Both,All ages,Alcohol use disorders,Number,1992,46.18832460308483,50.41177587459542,42.350600904830394
Deaths,West Virginia,Both,All ages,Liver cancer due to alcohol use,Number,1991,12.017103734818598,13.803177831045856,10.208813081584323
Deaths,Louisiana,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,177.3135397434785,204.19074197672114,152.45325528933122
Deaths,West Virginia,Both,All ages,Alcohol use disorders,Number,1991,50.15932674448931,54.31855557783443,46.30751210980013
Deaths,Arkansas,Both,All ages,Liver cancer due to alcohol use,Number,1990,13.55506603579954,15.568441818532309,11.527379187104724
Deaths,New York,Both,All ages,Liver cancer due to alcohol use,Number,1991,166.23811600847407,187.5748658768468,145.14684601924588
Deaths,Kentucky,Both,All ages,Alcohol use disorders,Number,1991,95.67142889570115,101.8904311738973,89.18193195794682
Deaths,North Dakota,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,20.353083299467354,23.57067887190399,17.47763504682441
Deaths,Indiana,Both,All ages,Liver cancer due to alcohol use,Number,1992,38.08951125351461,43.20193996838514,32.944149332859716
Deaths,Maine,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,48.17864821413817,56.17068511561021,41.3626120118551
Deaths,Wisconsin,Both,All ages,Alcohol use disorders,Number,1991,127.58032755685788,135.55358713822332,119.4586949531055
Deaths,New York,Both,All ages,Alcohol use disorders,Number,1991,585.3448803333445,616.9744461863133,557.0107539580749
Deaths,Texas,Both,All ages,Alcohol use disorders,Number,1992,326.0111099505927,343.06277414634764,308.39515171192596
Deaths,New York,Both,All ages,Alcoholic cardiomyopathy,Number,1991,414.25797789404595,474.57228016821017,315.66172598115526
Deaths,Iowa,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,79.03378899163867,90.17554547368131,68.59964044085163
Deaths,Iowa,Both,All ages,Liver cancer due to alcohol use,Number,1991,22.774952362269726,25.64887755998312,19.81748761886037
Deaths,Arizona,Both,All ages,Liver cancer due to alcohol use,Number,1991,24.719209915042253,28.359028021158654,21.44888069328669
Deaths,Ohio,Both,All ages,Alcohol use disorders,Number,1990,196.04087417902073,208.20851038332793,184.54622922512382
Deaths,Vermont,Both,All ages,Liver cancer due to alcohol use,Number,1992,4.318006060497013,4.925493397677501,3.7460356614733024
Deaths,Vermont,Both,All ages,Alcohol use disorders,Number,1992,16.0401315906508,17.592290794241798,14.64753680622585
Deaths,New Mexico,Both,All ages,Alcoholic cardiomyopathy,Number,1991,30.310589709075547,36.15434632603862,23.84817824001142
Deaths,Wisconsin,Both,All ages,Alcoholic cardiomyopathy,Number,1991,126.85779682600706,151.62568528475975,85.94257001573851
Deaths,New Jersey,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,385.35436874866883,435.77804313090695,343.4302309036696
Deaths,Arkansas,Both,All ages,Alcohol use disorders,Number,1990,46.05553650166125,49.792986410505996,42.57584479168498
Deaths,Louisiana,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,178.73666061778817,202.88908070472866,156.0659698523613
Deaths,Indiana,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,169.1169392205032,211.90443040989717,129.96054250421616
Deaths,Vermont,Both,All ages,Alcoholic cardiomyopathy,Number,1992,11.782501766875445,14.02853404166895,8.909696626070472
Deaths,Oregon,Both,All ages,Liver cancer due to alcohol use,Number,1990,22.402034902250453,25.73922238540205,19.31023788871711
Deaths,Virginia,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,233.6482431188327,263.5029778638416,206.47981187652385
Deaths,Wyoming,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,17.61706329809636,20.36460142078326,15.253993189858287
Deaths,Mississippi,Both,All ages,Liver cancer due to alcohol use,Number,1990,12.413688947545571,14.26429253332061,10.647451128316318
Deaths,Alabama,Both,All ages,Alcohol use disorders,Number,1992,109.43121961881077,117.5197261672473,101.89780669913043
Deaths,Arkansas,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,93.00145146920127,106.74632471482725,79.8636012785712
Deaths,Iowa,Both,All ages,Alcohol use disorders,Number,1991,50.84451111760327,55.237087547372695,46.87239344205814
Deaths,West Virginia,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,84.3545982107951,96.55648830028873,73.25525006093027
Deaths,Iowa,Both,All ages,Alcoholic cardiomyopathy,Number,1991,60.046541571667646,71.95593531822367,44.526730390022
Deaths,California,Both,All ages,Liver cancer due to alcohol use,Number,1990,186.97142180963095,212.7631646665139,160.80390063733773
Deaths,New York,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,846.7086337067745,956.465139387556,736.478940727585
Deaths,Oklahoma,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,124.43989528578823,142.98971490132595,106.9968869861289
Deaths,Oregon,Both,All ages,Alcohol use disorders,Number,1990,109.5987510984313,117.34685278128116,102.43480906263262
Deaths,Arkansas,Both,All ages,Alcoholic cardiomyopathy,Number,1990,51.529759287695875,61.591965053880436,40.54402118887554
Deaths,Illinois,Both,All ages,Alcoholic cardiomyopathy,Number,1992,357.2603094094677,450.3571893312317,241.8092550833488
Deaths,Maryland,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,201.14494184107815,230.89105527344825,174.059768310145
Deaths,Mississippi,Both,All ages,Alcohol use disorders,Number,1990,60.11368471372372,64.91380763625267,55.53443782230376
Deaths,New Hampshire,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1992,39.17729941385158,44.72948476074171,34.273713724026194
Deaths,Arizona,Both,All ages,Alcohol use disorders,Number,1991,154.8175423703619,165.61679552255322,145.09501469812955
Deaths,California,Both,All ages,Alcoholic cardiomyopathy,Number,1990,847.0402621445696,1078.3940429593013,561.4869267657514
Deaths,Oklahoma,Both,All ages,Liver cancer due to alcohol use,Number,1991,17.546421105228205,20.18537144825012,14.962325645105908
Deaths,Kansas,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1991,80.01296364745367,91.2500126583278,69.57654801078169
Deaths,California,Both,All ages,Alcohol use disorders,Number,1990,766.5789774897905,803.0283491661337,729.847315927381
Deaths,Wyoming,Both,All ages,Cirrhosis and other chronic liver diseases due to alcohol use,Number,1990,17.435669388689863,20.372534722897058,14.849257784224264
Deaths,Kansas,Both,All ages,Liver cancer due to alcohol use,Number,1992,16.00836113905337,18.125810042830892,13.668585963583249
Deaths,Kansas,Both,All ages,Alcohol use disorders,Number,1992,57.194079379675465,61.95421287023013,52.72131723825443
Deaths,Utah,Both,All ages,Alcoholic cardiomyopathy,Number,1992,22.07863645972376,27.605344586776155,16.757065238799512
Deaths,West Virginia,Both,All ages,Alcoholic cardiomyopathy,Number,1991,50.44920026476656,58.93252584302333,38.80134280799113
